{'subnet': 62, 'old_identity': 'Ridges AI', 'new_identity': 'Ridges'}
{'subnet': 107, 'old_identity': 'Tiger Alpha', 'new_identity': 'Tiger ALPHA'}
{'subnet': 91, 'old_identity': 'tensorprox', 'new_identity': 'TensorProx'}
{'subnet': 91, 'old_identity': 'TensorProx', 'new_identity': 'https://github.com/shugo-labs/tensorprox.git'}
{'subnet': 91, 'old_identity': 'https://github.com/shugo-labs/tensorprox.git', 'new_identity': 'Tensorprox'}
{'subnet': 91, 'old_identity': 'Tensorprox', 'new_identity': 'TensorProx'}
{'subnet': 91, 'old_identity': 'TensorProx', 'new_identity': 'Tensorprox'}
{'subnet': 84, 'old_identity': 'Docs-Insights (Taτsu)', 'new_identity': 'Comming Soon (Tatsu)'}
{'subnet': 84, 'old_identity': 'Docs-Insights (Taτsu)', 'new_identity': 'Comming Soon (Tatsu)'}
{'subnet': 84, 'old_identity': 'Comming Soon (Tatsu)', 'new_identity': 'Coming Soon (Tatsu)'}
{'subnet': 84, 'old_identity': 'Comming Soon (Tatsu)', 'new_identity': 'Coming Soon (Tatsu)'}
{'subnet': 81, 'old_identity': 'Patrol (TAO.com)', 'new_identity': 'Acquired by Tplr.ai'}
{'subnet': 91, 'old_identity': 'Tensorprox', 'new_identity': 'τensorprox'}
{'subnet': 81, 'old_identity': 'Acquired by Tplr.ai', 'new_identity': 'grail'}
{'subnet': 26, 'old_identity': 'Storb', 'new_identity': 'Kinitro'}
{'subnet': 67, 'old_identity': 'Unknown', 'new_identity': '10x'}
